uid,cause_nbr,account_nbr,sale_type,status,estimated_surplus,address,city,state,zip,county,parcel_id,auction_date,sale_price,mortgage_balance,first_name,last_name,email,phone
1000905635,202405091,0142190000011,RESALE,Sold,101174.0,2912 ARKANSAS ST # 8,HOUSTON,TX,77026,Harris County,HARRIS-COUNTY-0142190000011,2026-09-01,105156.0,3982.0,,,,
1003299330,202489792,0350930450017,SALE,Cancelled,559928.71,1202 AURORA ST,HOUSTON,TX,77009-1739,Harris County,HARRIS-COUNTY-0350930450017,2026-09-01,615998.0,56069.29,,,,
1002329442,201984005,0751900230005,SALE,Cancelled,56297.87,5318 BATAAN RD,HOUSTON,TX,77033-1702,Harris County,HARRIS-COUNTY-0751900230005,2026-09-01,58899.0,2601.13,,,,
1010897908,202305955,0630190050008,RESALE,Sold,28028.32,1210 BOOKERTEE ST,BAYTOWN,TX,77520,Harris County,HARRIS-COUNTY-0630190050008,2026-09-01,30000.0,1971.68,,,,
1011061604,202455751,0700040000046,SALE,Cancelled,231593.55,911 BRYAN AVE,PASADENA,TX,77506-2323,Harris County,HARRIS-COUNTY-0700040000046,2026-09-01,252298.0,20704.45,,,,
1009891821,202554065,0670230040075,SALE,Cancelled,242313.45,0 CARR ST,HOUSTON,TX,77026,Harris County,HARRIS-COUNTY-0670230040075,2026-09-01,290605.0,48291.55,,,,
1008349988,202423346,0641330030012,SALE,Cancelled,171179.45,2904 CETTI ST,HOUSTON,TX,77009-6912,Harris County,HARRIS-COUNTY-0641330030012,2026-09-01,234451.0,63271.55,,,,
1010761902,202546382,0810210000024,SALE,Cancelled,10281.86,3021 CORKSIE ST,HOUSTON,TX,77051-4117,Harris County,HARRIS-COUNTY-0810210000024,2026-09-01,72600.0,62318.14,,,,
1012044013,201984005,0572800160007,SALE,Cancelled,59081.36,6729 CULLEN BLVD,HOUSTON,TX,77021-5005,Harris County,HARRIS-COUNTY-0572800160007,2026-09-01,61260.0,2178.64,,,,
1012044014,201984005,0572800160009,SALE,Cancelled,58641.18,6729 CULLEN BLVD,HOUSTON,TX,77021-5005,Harris County,HARRIS-COUNTY-0572800160009,2026-09-01,61033.0,2391.82,,,,
1012044016,201984005,0572800160015,SALE,Cancelled,31621.5,6729 CULLEN BLVD,HOUSTON,TX,77021-5005,Harris County,HARRIS-COUNTY-0572800160015,2026-09-01,32454.0,832.5,,,,
1011975773,202455751,0903710000003,SALE,Cancelled,158108.79,510 DELTA ST,PASADENA,TX,77506-3122,Harris County,HARRIS-COUNTY-0903710000003,2026-09-01,172169.0,14060.21,,,,
1007342248,202489942,0181360000013,SALE,Cancelled,370929.84,7314 DENISON ST,HOUSTON,TX,77020-5415,Harris County,HARRIS-COUNTY-0181360000013,2026-09-01,382630.0,11700.16,,,,
1011869732,202464878,0752020260015,SALE,Cancelled,4034691.85,5538 DOLIVER DR,HOUSTON,TX,77056-2320,Harris County,HARRIS-COUNTY-0752020260015,2026-09-01,4184785.0,150093.15,,,,
1010098176,202529780,1149100000010,SALE,Sold,122175.93,12302 DUAL CIRCLE CT,CYPRESS,TX,77429-5020,Harris County,HARRIS-COUNTY-1149100000010,2026-09-01,147564.0,25388.07,,,,
1010532489,202354763,1167950050008,RESALE,Sold,29140.0,0 EGRET CANAL N,BAYTOWN,TX,77523,Harris County,HARRIS-COUNTY-1167950050008,2026-09-01,31500.0,2360.0,,,,
