uid,cause_nbr,account_nbr,sale_type,status,estimated_surplus,address,city,state,zip,county,parcel_id,auction_date,sale_price,mortgage_balance,first_name,last_name,email,phone
1004387483,TX-1669,47216,SALE,Cancelled,18120.52,411 ASHWOOD CIR,HUNTINGTON,TX,75949-3802,Angelina County,ANGELINA-COUNTY-47216,2026-09-01,30270.0,12149.48,,,,
1013532518,TX-1683,56753,SALE,Struck off to Jurisdiction,2820.21,BLANCO ROVER ROAD,LUFKIN,TX,75901,Angelina County,ANGELINA-COUNTY-56753,2026-09-01,4160.0,1339.79,,,,
1004414564,TX-1655,50957,SALE,Struck off to Jurisdiction,2927.0,BONITA,LUFKIN,TX,75904,Angelina County,ANGELINA-COUNTY-50957,2026-09-01,3940.0,1013.0,,,,
1004046570,TX-1731,93017,SALE,Struck off to Jurisdiction,59737.96,167 BOULWARE RD,LUFKIN,TX,75901-7913,Angelina County,ANGELINA-COUNTY-93017,2026-09-01,74190.0,14452.04,,,,
1003883861,TX-1655,19545,SALE,Struck off to Jurisdiction,4734.27,BRANCH,LUFKIN,TX,75904,Angelina County,ANGELINA-COUNTY-19545,2026-09-01,6440.0,1705.73,,,,
1013532516,TX-1683,56674,SALE,Struck off to Jurisdiction,1708.24,CANADIAN AVE,LUFKIN,TX,75901,Angelina County,ANGELINA-COUNTY-56674,2026-09-01,2670.0,961.76,,,,
1004606134,TX-1245,20035,SALE,Sold,11646.88,CORNER OF DALE AND KNIGHT STREETS,LUFKIN,TX,75901,Angelina County,ANGELINA-COUNTY-20035,2026-09-01,28060.0,16413.12,,,,
1004381962,TX-1670,60557,SALE,Cancelled,110949.26,390 CRIPPLE CREEK RD,LUFKIN,TX,75904-3585,Angelina County,ANGELINA-COUNTY-60557,2026-09-01,125850.0,14900.74,,,,
1004609298,TX-1655,43348,SALE,Cancelled,33577.5,609 EAST BREMOND AVENUE,LUFKIN,TX,75904,Angelina County,ANGELINA-COUNTY-43348,2026-09-01,42500.0,8922.5,,,,
1004132802,TX-1553,34753,SALE,Sold,20227.65,FLOYD DRIVE,LUFKIN,TX,75901,Angelina County,ANGELINA-COUNTY-34753,2026-09-01,26370.0,6142.35,,,,
1004033472,TX-1556,84257,SALE,Cancelled,33143.86,3790 FM 1818,DIBOLL,TX,75941-4032,Angelina County,ANGELINA-COUNTY-84257,2026-09-01,36480.0,3336.14,,,,
